pid,nome,cpu,ram
18851,at-spi2-registryd,0.0,0.09640372202196329
18867,gnome-shell-calendar-server,0.0,0.22539110371284066
18874,evolution-source-registry,0.0,1.1219656778798366
18879,dconf-service,0.0,0.07659405450502776
18890,gjs,0.0,0.34739270844560477
18896,ibus-daemon,0.0,0.16082256525713648
18903,gsd-a11y-settings,0.0,0.08876926577488234
18905,gsd-color,0.0,0.26905220970104865
18907,gsd-datetime,0.0,0.16142134613926046
18909,gsd-housekeeping,0.0,0.10758096515494453
18910,gsd-keyboard,0.0,0.26396257220299474
18913,gsd-media-keys,0.0,0.3329720688677852
18918,gsd-power,0.0,0.3483906765824781
18920,gsd-print-notifications,0.0,0.14660151930669157
18921,gsd-rfkill,0.0,0.08657373587376102
18922,gsd-screensaver-proxy,0.0,0.0809851143072704
18925,gsd-sharing,0.0,0.1566310990822685
18929,evolution-alarm-notify,0.0,1.3902195130713866
18930,gsd-smartcard,0.0,0.11107385363400117
18931,gsd-sound,0.0,0.13118291159199869
18935,gsd-wacom,0.0,0.2725450981801053
19023,gsd-disk-utility-notify,0.0,0.09655341724249428
19032,snapd-desktop-integration,0.0,0.14809847151200156
19036,goa-daemon,0.0,0.311016769856572
19068,gsd-printer,0.0,0.19400500580817456
19076,gvfs-udisks2-volume-monitor,0.0,0.1439070053371336
19088,ibus-dconf,0.0,0.09675301086986894
19089,ibus-extension-gtk3,0.0,0.3831199677456698
19097,ibus-portal,0.0,0.09730189334514927
19116,goa-identity-service,0.0,0.12240079198751343
19180,evolution-calendar-factory,0.0,0.3147092519630033
19186,gvfs-afc-volume-monitor,0.0,0.10428767030326255
19213,gvfs-goa-volume-monitor,0.0,0.08422851075210872
19230,evolution-addressbook-factory,0.0,0.3862635673768208
19232,gvfs-gphoto2-volume-monitor,0.0,0.09051571001441067
19247,gvfs-mtp-volume-monitor,0.0,0.08502688526160737
19252,snapd-desktop-integration,0.0,0.3780303302476159
19288,ibus-engine-simple,0.0,0.10064508660367491
19323,gvfsd-trash,0.0,0.12284987764910642
19346,xdg-desktop-portal,0.0,0.19380541218079989
19371,tracker-miner-fs-3,0.0,0.3864132625973518
19372,xdg-desktop-portal-gnome,0.0,1.8730863960975452
19387,gjs,0.0,0.3467440291566371
19467,xdg-desktop-portal-gtk,0.0,0.3415545948448958
19474,gvfsd-metadata,0.0,0.0855757677368877
19781,chrome,0.0,4.233430735023492
19787,cat,0.0,0.02360194643705416
19788,cat,0.0,0.02360194643705416
19799,chrome_crashpad_handler,0.0,0.050497187725790295
19801,chrome_crashpad_handler,0.0,0.044110191649801005
19807,chrome,0.0,1.405887612820298
19808,chrome,0.0,1.4198591667365246
19814,chrome,0.0,0.32129584166636727
19826,Xwayland,0.0,1.4234518520292683
19846,gsd-xsettings,0.0,1.0244641909073127
19870,ibus-x11,0.0,0.3231919811264266
19876,mutter-x11-frames,0.0,1.331988072284828
19909,chrome,0.0,2.334297370553553
19910,chrome,0.0,2.8353771720776497
19922,chrome,0.0,0.8959757932848721
20074,chrome,0.0,3.104529178592386
20494,update-notifier,0.0,0.36645389985988525
21330,gvfsd-http,0.0,0.12569408683919542
21615,rstudio,0.0,2.9350242905444515
